"PVWatts: Hourly PV Performance Data"
"Requested Location:","new york"
"Location:","Lat, Lng: 40.73, -74.02"
"Lat (deg N):","40.73"
"Lng (deg W):","74.02"
"Elev (m):","0"
"DC System Size (kW):","4"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","20"
"Array Azimuth (deg):","180"
"System Losses:","14.08"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.2"

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"7","21","14","14","243","30","3","245.286","35.603","800.852","763.061"
"7","21","15","402","258","30","3","532.133","41.666","1671.102","1607.661"
"7","21","16","142","216","29","3","275.668","35.455","886.45","846.448"
"7","21","17","129","133","28","3","156.33","31.032","496.315","465.836"
"7","21","18","167","53","26","2","47.122","26.155","151.662","128.42"
"7","21","19","0","0","24","2","0","24","0","0"
"7","21","20","0","0","23","2","0","23","0","0"
"7","21","21","0","0","22","3","0","22","0","0"
"7","21","22","0","0","22","4","0","22","0","0"
"7","21","23","0","0","21","5","0","21","0","0"
"7","22","0","0","0","20","5","0","20","0","0"
"7","22","1","0","0","19","5","0","19","0","0"
"7","22","2","0","0","18","5","0","18","0","0"
"7","22","3","0","0","18","5","0","18","0","0"
"7","22","4","0","0","18","5","0","18","0","0"
"7","22","5","380","34","19","5","26.019","18.219","92.273","70.167"
"7","22","6","639","61","21","5","205.397","23.817","574.444","542.171"
"7","22","7","770","77","23","4","429.174","31.37","1345.586","1292.563"
"7","22","8","847","86","24","4","645.423","37.398","2054.845","1977.857"
"7","22","9","894","92","25","4","830.393","42.658","2607.382","2508.484"
"7","22","10","914","99","26","3","961.445","48.647","2935.387","2822.141"
"7","22","11","925","102","27","3","1032.039","51.444","3105.982","2984.877"
"7","22","12","407","378","27","3","809.967","46.721","2499.477","2405.08"
"7","22","13","490","343","27","3","825.301","46.564","2548.152","2451.738"
"7","22","14","526","264","27","3","713.68","44.112","2227.417","2143.891"
"7","22","15","793","111","27","3","648.595","42.397","2018.309","1942.67"
"7","22","16","713","97","26","3","434.664","36.386","1341.712","1288.807"
"7","22","17","311","111","25","2","181.478","29.63","547.594","515.944"
"7","22","18","197","47","23","2","40.852","22.98","131.105","108.26"
"7","22","19","0","0","21","3","0","21","0","0"
